name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,ALAND,AREAID,AWATER,COUNTYFP,FIXME,MTFCC,OBJNAME,SHAPE_STAr,SHAPE_STLe,STATEFP,Tiger:MTFCC,Zoning,abandoned,abandoned:amenity,access,affiliation,after_school,air_conditioning,alt_name,alt_name:am,alt_name:en,alt_name:es,alt_name:vi,amenity,amenity:historic,amenity_1,architect,architect:wikidata,area,artist_name,basilica,branch,brand,building,building:architecture,building:colour,building:levels,building:material,building:part,building:type,building:use,capacity,check_date,comment,community,community:en,community:gender,community:vi,community:wikidata,community_centre,community_centre:for,contact:facebook,contact:fax,contact:instagram,contact:twitter,contact:website,contact:youtube,created_by,demolished:amenity,demolished:building,denomination,denomination:wikidata,description,description:emergency,designation,diocese,disued:website,disused,disused:amenity,disused:denomination,disused:office,disused:official_name,disused:phone,disused:religion,disused:school,disused:website,ele,elevation,events_centre:conference,facebook,fax,fee,fixme,fixme:amenity,flag:name,flag:type,flag:wikidata,full_name,full_name:es,gnis:feature_id,grade,grades,healthcare,height,heritage,heritage:name,heritage:operator,heritage:ref,heritage:since,historic,historic:denomination,historic:name,image,indoor,inscription,internet_access,internet_access:ssid,landuse,language:am,language:en,language:es,language:hr,language:ja,language:ko,language:la,language:zh,layer,leisure,level,loc_name,location,long_name,man_made,mascot,massgis:cat,max_age,min_age,monastery:type,museum,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:fil,name:fr,name:he,name:it,name:ja,name:ko,name:pt,name:ru,name:th,name:tl,name:uk,name:ur,name:vi,name:vi-Hani,name:zh,name:zh-Hans,name:zh-Hant,not:shop,note,note:address,office,official_name,official_name:en,official_name:es,old_name,old_name:am,old_name:en,old_name:es,old_name:ko,old_name:la,old_name:vi,old_official_name:en,opening_hours,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:website,owner:wikidata,paloalto_ca:id,payment:cash,payment:credit_cards,pet,phone:mnemonic,place_of_worship,preschool,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:blklot,ref:chisl,ref:chl,ref:nrhp,religion,religion:wikidata,residential,reviewed,roof:colour,roof:height,roof:levels,roof:orientation,roof:shape,room,ruins,school,school:gender,service_times,sfgov:OBJNAME,shop,short_name,short_name:en,short_name:vi,short_name:zh,social_facility,social_facility:for,social_facility:for_1,source,source:addr,source:phone,sport,start_date,strapline,subject,subject:wikidata,survey:date,toilets:wheelchair,tourism,training,type,upload_version,verified,was:amenity,was:denomination,website:official,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:1:housenumber,addr:city,addr:country,addr:county,addr:floor,addr:full,addr:housename,addr:housenumber,addr:paloaltoca_id,addr:place,addr:postcode,addr:state,addr:street,addr:unit
Seventh-day Adventist Japanese Church,,san_francisco,,religion,,,,,,,,37.7916109,-122.4330675,262751771,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,seventh_day_adventist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Episcopal Church,,san_francisco,,religion,,,,,,,,37.7899497,-122.4372669,262765326,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,episcopal,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,1657029,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,,,,,Pierce Street,
Jones Memorial United Methodist Church,,san_francisco,,religion,,,,+1-415-921-7653,,,http://jonesumc.com/,37.7846744,-122.4345645,263227932,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,methodist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1975,,,94115,CA,Post Street,
Macedonia Baptist Church,,san_francisco,,religion,,,,,,,,37.7853348,-122.4354496,263283882,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,2025-09-05,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,1655689,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su 10:30-12:00,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,2135,,,,,Sutter Street,
First Apostolic Faith Church,,san_francisco,,religion,,,,,,,,37.7863536,-122.4365841,263349499,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,1656800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom Hall Of Jehovah’s Witnesses,,san_francisco,,religion,,,,,,,,37.7746205,-122.4585686,263357133,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-03-21,,,,,,,,,,,,,,,,,,jehovahs_witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,2500,,,94118,CA,Fulton Street,
San Francisco Korean Covenant Church,,san_francisco,,religion,,,,+1 415 387 8129,,,,37.7752786,-122.4615734,263369573,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,상항 서머나 교회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,Su 11:00,,,,,,,,,,,,,,1966-04-10,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,4th Avenue,
Golden Gate Community Church of the Nazarene,,san_francisco,,religion,,,,,,,,37.7873469,-122.437626,263379850,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,nazarene,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,1656804,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501;2507;2517,,,,,Pine Street,
Philadelphian Seventh Day Adventist Church,,san_francisco,,religion,,,,,,,,37.7866657,-122.4395112,263389517,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seventh_day_adventist,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,1656893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009/06/25,,,,,,,,,,,,,,,,,,,,,
San Francisco Central Seven Day Adventist Church,,san_francisco,,religion,,,,,,,,37.7875004,-122.4416702,263404875,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Baptist Church,,san_francisco,,religion,,,,,,,,37.785893,-122.4416081,263420998,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1642,,,94115,CA,Broderick Street,
Sinai Memorial Chapel,,san_francisco,,religion,,,,,,,https://www.sinaichapel.org/,37.7834945,-122.4396738,263492932,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501,,,,,Divisadero Street,
Hamilton Memorial Church of God in Christ,,san_francisco,,religion,,,,,,,,37.7831661,-122.4427308,263499595,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,pentecostal,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,1657289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Chapel Church of God in Christ,,san_francisco,,religion,,,,,,,,37.784545,-122.4447035,263509887,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,1655686,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693,,,,,Sutter Street,
New Antioch Baptist Church,,san_francisco,,religion,,,,,,,,37.773857,-122.4385124,263824672,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-10-14,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655711,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,,,,,Fell Street,
Ebenezer Baptist Church,,san_francisco,,religion,,,,,,,,37.77174,-122.437291,263828910,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2024-10-21,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,1656797,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,Divisadero Street,
Mount Zion Baptist Church,,san_francisco,,religion,,,,,,,,37.7722294,-122.4411044,263866060,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,1655708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Agnes Roman Catholic Church,,san_francisco,,religion,,,,,,,,37.7712609,-122.4464122,264348673,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-01-02,,,,,,,,,,,,,,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,,,,,Page Street,
All Saints Episcopal Church,,san_francisco,,religion,,,,,,,,37.7693304,-122.4460768,264356934,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,episcopal,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,1655594,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,,Waller Street,
The Waller Center,,san_francisco,,religion,,,,,,,https://www.wallercenter.org/,37.7684482,-122.4488978,264494855,way,,,,,,,,,,,,,,,,,,,,,,,,community_centre,,,,,,,,,,church,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"church owned and operated, but no longer an actual place_of_worship itself",,,,,,,,,,,,,,,Board of Camping and Retreat Ministries of the California-Nevada Annual Conference of The United Methodist Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,,,,,Waller Street,
三藩市以琳教會,,san_francisco,,religion,,,,,,,,37.7659848,-122.4620508,265959139,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三藩市以琳教會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,Su 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,San Francisco,US,,,,,1200,,,94122,CA,5th Avenue,
Saint John of God Newman Center,,san_francisco,,religion,,,,,,,,37.7644502,-122.4619299,265971593,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,1656862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,US,,,,,1290,,,,,5th Avenue,
Bethany United Methodist Church,,san_francisco,,religion,,,,,,,,37.7490534,-122.4298311,266412817,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,methodist,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,1657278,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,1268;1270,,,,,Sanchez Street,
Forest Hill Christian Church,,san_francisco,,religion,,,,,,,,37.7497877,-122.4611718,266852678,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seventh Avenue Presbyterian Church,,san_francisco,,religion,,,,,,,https://seventhavenuechurch.org,37.7635993,-122.4646722,267047871,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-03-05,,,,,,,,,,,,,,,,,,presbyterian,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,1656890,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,San Francisco,US,,,,,1329,,,94122,CA,7th Avenue,
Saint Anne of the Sunset Catholic Church,,san_francisco,,religion,,,,+1 415 665 1600,info@stanne-sf.org,,http://stanne-sf.org,37.7620805,-122.4709602,267102407,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,#d9b2a4,,,,,,,2025-02-19,,,,,,,,,https://www.facebook.com/StAnneSF,,,https://x.com/StAnneSF,,https://www.youtube.com/channel/UCT-0MbSrfdK6jijClx-4fhA,,,,catholic,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,1656842,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,#a3331e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Q7587034,"Category:Saint Anne of the Sunset Church, San Francisco",en:St. Anne of the Sunset Church in San Francisco,,San Francisco,US,,,,,810,,,94122,CA,Judah Street,
,,san_francisco,,religion,,,,,,,,37.76171,-122.3970851,267255362,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Russian Christian Molokan,,san_francisco,,religion,,,,,,,,37.7580107,-122.3998345,267703434,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,841,,,,CA,Carolina Street,
Sharon Chinese Baptist Church,,san_francisco,,religion,,,,+1 415-664-3303,,,https://sfscbc.org,37.763754,-122.4756094,267718166,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2023-06-03,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沙崙華人浸信會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1620,,,94122,CA,Irving Street,
19th Avenue Chinese Baptist Church,,san_francisco,,religion,,,,,,,,37.7618209,-122.4768318,267734027,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2025-02-19,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19th Avenue Chinese Baptist Church,,,,,,,,,,,,,,,,,,十九街華人浸信會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1398,,,94122,CA,19th Avenue,
19th Avenue Baptist Church,,san_francisco,,religion,,,,,,,,37.7622427,-122.4767261,267734029,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,1656820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1370,,,94122,CA,19th Avenue,
Salón del Reino de los Testigos de Jehová,,san_francisco,,religion,,,,+1-415-824-0208,,,,37.7501236,-122.411161,269547527,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,jehovahs_witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,1342,,,94110,CA,Alabama Street,
Holy Innocents Episcopal Church,,san_francisco,,religion,,,,,,,,37.7494337,-122.4236613,269617341,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,episcopal,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,1655414,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,Fair Oaks Street,
Iglesia Arca de Dios,,san_francisco,,religion,,,,,,,,37.7495568,-122.413451,269617922,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2023-02-11,,,,,,,,,,,,,,,,,,assemblies_of_god,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2991;2993,,,,,Folsom Street,
Church of God,,san_francisco,,religion,,,,,,,,37.7481387,-122.4127474,269675700,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,3155,,,94110,CA,Cesar Chavez Street,
First Samoan Congregational Church,,san_francisco,,religion,,,,,,,,37.7485356,-122.4235093,269680194,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3715,,,,,26th Street,
Saint Anthony of Padua Church,,san_francisco,,religion,,,,,,,,37.7479908,-122.4142971,269686934,way,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,catholic,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,1656843,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco,,,,,,3215,,,,,Cesar Chavez Street,
