name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,alt_name,amenity,appointment,branch,brand,brand:wikidata,building,building:levels,check_date,check_date:opening_hours,check_date:service:bicycle:pump,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:yelp,created_by,currency:USD,ele,height,level,name:ca,note,official_name,old_name,opening_hours,operator,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:litecoin,payment:mastercard,payment:visa,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,rental,roof:shape,second_hand,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:accessories,service:bicycle:bicycle,service:bicycle:bicycle_sales_and_service,service:bicycle:bike,service:bicycle:chain_tool,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:diy,service:bicycle:ebike,service:bicycle:electric_bikes,service:bicycle:mtb,service:bicycle:parts,service:bicycle:pump,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:school,service:bicycle:second_hand,service:bicycle:service,service:bicycle:showroom,service:bicycle:spare_parts,service:bicycle:tools,service:bicycle:training,service:bicycle:wheel,shop,short_name,source,stroller,toilets,walk-in,wheelchair,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit
Community Cycles of California,,santa_clara,,bikeshops,,,,+1 408 657 9092,,,https://www.communitycyclesca.org/,37.3313315,-121.9059164,1009727630,way,,,,,,,yes,,,,,,,,,,,,,33.35,2.79,,,nonprofit,,,"Th-Fr 12:00-19:00, Sa-Su 11:00-16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,35,95126,,Wilson Avenue,
ELV Motors,,santa_clara,,bikeshops,,,,+1-888-612-9883,,,https://www.elvmotors.com/,37.351949,-121.9659181,1044084297,way,,,,,,,retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,bicycle,,,,,,,Santa Clara,,,2332,95050,CA,El Camino Real,
Hyland Family Bicycles,,santa_clara,,bikeshops,,,,,,,,37.2976764,-121.913993,1146637575,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,1515,95125,,Meridian Avenue,
Evolution Bike Shop,,santa_clara,,bikeshops,,,,,,,,37.3238049,-122.0179071,1293729021,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,19685,95014,,Stevens Creek Boulevard,
Calabazas Cyclery,,santa_clara,,bikeshops,,,,,,,,37.3089515,-122.0120383,1616253687,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,San Jose,,,6140,95129,,Bollinger Road,
Wheel Away Cycle Center,,santa_clara,,bikeshops,,,,+1-408-378-4636,,,https://www.wheelaway.com/,37.2938645,-121.942862,1707645861,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Campbell,,,402,95008,CA,East Hamilton Avenue,
Concept Cyclery,,santa_clara,,bikeshops,,,,,,,http://www.conceptcyclery.com,37.1336882,-121.6292047,2666348865,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,Harvest Plaza,1295,95037,,East Dunne Avenue,
San Jose Bicycles,,santa_clara,,bikeshops,,,,+1-408-964-8640,sanjosebicycles@gmail.com,,http://sjbikeshop.com/,37.307375,-121.8492042,3033924237,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Th 14:00-19:00; Fr-Sa 12:00-19:00; Su 12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,565,95112,CA,Tully Road,
Shifty Cycles,,santa_clara,,bikeshops,,,,,,,,37.1110793,-121.6428178,4170062875,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Mike's Bikes,,santa_clara,,bikeshops,,,,+1 650 8587700,,,https://www.mikesbikes.com/contact/mikes-bikes-of-palo-alto-pg50.htm,37.4160153,-122.1021544,4875092270,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 10:00-20:00;Sa-Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Zoom,,santa_clara,,bikeshops,,,,,,,,37.3527057,-121.9898401,5125483290,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Trail Head Cyclery,,santa_clara,,bikeshops,,,,,,,,37.323297,-122.0289338,6003467096,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Bicycle Exchange - Silicon Valley,,santa_clara,,bikeshops,,,,+1 650-691-5989,info@bikex.org,,https://bikex.org/,37.4304319,-122.1027276,7034429446,node,BikeX;SVBE,,,,,,,,2023-12-28,,,https://www.facebook.com/bikex.org,,,,,,,yes,,,,,,Silicon Valley Bicycle Exchange,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,,,,,yes,,yes,,,,,,,bicycle,Bicycle Exchange,,,,,,Palo Alto,,,3961,94303,CA,East Bayshore Road,
Community Cycles of California,,santa_clara,,bikeshops,,,,,,,,37.3373537,-121.8876743,7235943875,node,,,,,,,,,,,,,,,,,,,,,,,,,,,"Th, Fr 12:00-19:00; Sa, Su 11:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Good Karma Bikes,,santa_clara,,bikeshops,,,,+1-408-291-0501,,goodkarma@goodkarmabikes.org,https://www.goodkarmabikes.org/,37.3295294,-121.900816,7616349853,node,,,,,,,,,2025-01-18,,,GoodKarmaBikes,,,goodkarmabikes,,,,yes,,,,,non-profit,,,Mo off; Tu-Su 12:00-17:00,,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,,,,yes,yes,,yes,yes,,,yes,,,,yes,yes,,bicycle,,,yes,no,,,San Jose,US,,82,95110,CA,South Montgomery Street,
,,santa_clara,,bikeshops,,,,,,,,37.2607699,-121.9302989,8558062832,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,14390,95124,CA,Union Avenue,
Sun Bike Shop,,santa_clara,,bikeshops,,,,,,,,37.3609919,-121.836176,9157479935,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,2646,95116,CA,Alum Rock Avenue,
Cycle Gear,,santa_clara,,bikeshops,,,,,,,https://www.cyclegear.com/stores/cycle-gear-gilroy-california-store-103,36.9999265,-121.5569073,10585433698,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Gilroy,,,6920,95020,CA,Chestnut Street,E-1
Summit Bicycles San Jose,,santa_clara,,bikeshops,,,,,,,,37.30226,-121.865438,10733385206,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,111,95125,CA,Curtner Avenue,80
Electric Bike Center,,santa_clara,,bikeshops,,,,,,,https://www.electricbikeca.com,37.4269402,-122.1479954,11471924912,node,,,,,,,,,2023-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,2123,,,El Camino Real,
Good Karma Bikes,,santa_clara,,bikeshops,,,,,,,,37.3205923,-121.908058,12018365410,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,San Jose,,,460,95126,CA,Lincoln Avenue,25
Sunshine Bicycles,,santa_clara,,bikeshops,,,,,,,,37.0137111,-121.576401,12018520980,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Gilroy,,,311,95020,CA,1st Street,
The Cruiser Shop,,santa_clara,,bikeshops,,,,+1-408-497-0079,,,https://www.thecruisershopcampbell.com/,37.2905734,-121.9407939,13201517237,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Campbell,,,499,95008,CA,Salmar Avenue,Unit D
